tv_id,subscription_type,total_gaps,ad_like_gaps,long_gaps,ad_gap_proportion,most_common_ranges
00734bf0fd4407d1a20a4a6153753ef02a072a9e,ad_free,114,2,112,0.018,"240-255, 180-195, 120-135"
02ccce7a063b3f08d6aa0c341e5cbb2ba4bda7d5,ad_free,7,0,7,0.0,"300-315, 840-855, 1230-1245"
03a50c8293801acccd224d1d09026ec3adcdebc2,mixed_or_uncertain,12,4,8,0.333,"15-30, 30-45, 45-60"
04719294266ef374442bcc0a85dee9d2753f55a2,ad_free,65,10,55,0.154,"135-150, 120-135, 150-165"
0d00e3afe5de133ba06b1abea9ed14fdc8d20c50,ad_free,1,0,1,0.0,255-270
0ebe19ad7edef472e15c4f161c02b83fb94dafa7,ad_free,7,0,7,0.0,"150-165, 360-375, 375-390"
0ed088ca0bf854b8c6e1810e52c710133f3e3733,ad_free,69,2,67,0.029,"120-135, 135-150, 150-165"
0fee80b1cf1e8e09330b78f1db80830c2712d7ca,ad_free,1,0,1,0.0,195-210
14e2d2784692e34aa87dff546a6cc74e7e398c15,ad_free,28,7,21,0.25,"0-15, 120-135, 15-30"
17b9fef874fb6c2e05592b3dfd0039cbfd07fdaa,ad_free,20,0,20,0.0,"180-195, 225-240, 5010-5025"
18bab99a09efa0dfac12ef7869b4a102e8b97a7a,ad_free,4,0,4,0.0,"180-195, 150-165, 525-540"
222c114a5b1d00bc36861ed9ef5846197e2eb203,ad_free,1,0,1,0.0,135-150
295b5dfbb90e06569543eed158c9bf25a3f38bf8,ad_free,34,1,33,0.029,"150-165, 165-180, 225-240"
2b8855f668e4341590e61cd93835258f09af6175,ad_free,2,0,2,0.0,"6467880-6467895, 10825950-10825965"
2e8897602df9767b7fcfb208bb479c03ed2c0be7,ad_free,27,0,27,0.0,"90-105, 150-165, 165-180"
2f42a9a5e93f4668311b3b8eac1874d1111927b2,ad_free,9,1,8,0.111,"150-165, 165-180, 30-45"
34a0de273d870994b6a955f6a60f68b567922bc8,ad_free,9,1,8,0.111,"15-30, 60-75, 720-735"
369ed9af1db0f1f489333ce6ba6dfcec154559e3,ad_free,38,3,35,0.079,"135-150, 15-30, 120-135"
38186711ee392f6b6ccfe7233e4d139b4e64c6dc,ad_free,6,1,5,0.167,"165-180, 0-15, 195-210"
3983a1ac2c767c2b684b3a51b7c61ec1d13b93b7,ad_free,50,4,46,0.08,"15-30, 120-135, 150-165"
3f0662556afb27e61102c95efdf34c64ec27dd33,ad_free,3,0,3,0.0,"240-255, 585-600, 1395-1410"
4455eaf494dc57814fccbf066c92111d3f27f6f5,ad_free,5,0,5,0.0,"135-150, 165-180, 120-135"
46db43b45bc3a510022021cc3161e25d9a9d4518,ad_free,6,0,6,0.0,"75-90, 90-105, 120-135"
48d57f3a855383798ab4ce528b17edf14cc51c96,ad_free,22,0,22,0.0,"135-150, 120-135, 90-105"
52cfb28bc08705a4229899d7d7b3d9983c61d11d,ad_free,3,0,3,0.0,"75-90, 105-120"
5543e6214db895b4182e6b40f4dc82fc4d2c3e36,ad_free,3,0,3,0.0,"120-135, 195-210, 210-225"
5614db25f97608d949d5adb9ce597f2901af031a,ad_free,44,1,43,0.023,"195-210, 120-135, 180-195"
5a2dec7dbe3420e48aeedf7edd618bb93ac45ba1,ad_free,11,1,10,0.091,"495-510, 0-15, 150-165"
5c8a502e203f4fb35f3c6f0103688911c6086de0,ad_free,8,0,8,0.0,"120-135, 90-105, 240-255"
5dfd8f8ebfd7e928a6d724be2bbbee4df6ff11f7,ad_free,8,0,8,0.0,"120-135, 150-165, 165-180"
5fbef3e2d759ba42127dd676afc4b556d298aa27,ad_free,5,0,5,0.0,"210-225, 330-345, 345-360"
602fe1b3e8023ed8d4fce1e4cabbba69f46f7630,mixed_or_uncertain,6,2,4,0.333,"0-15, 15-30, 195-210"
617469b59185a21ccf340937ee6426120d08ea60,ad_free,13,1,12,0.077,"135-150, 45-60, 75-90"
621a8105790676d7d8d5f82e5ccfb43ad0f403fa,ad_free,9,0,9,0.0,"120-135, 150-165, 405-420"
621e4970ec6358fd1890c7c7c6a87673f02a23ec,ad_free,57,9,48,0.158,"135-150, 0-15, 120-135"
644131ad571cab08bd28728a80ed37ee0fb84621,ad_free,5,0,5,0.0,"120-135, 165-180, 180-195"
649cd6964e82a96f7653cf1e2cac45d74c0feffc,ad_free,18,3,15,0.167,"15-30, 135-150, 0-15"
6809ed5f365abe3e4707731c6cb870e26b4c07e6,ad_free,67,19,48,0.284,"45-60, 60-75, 0-15"
6b223b9c1fa6f243de7bbb7b09ee13df8f20526c,ad_free,29,3,26,0.103,"120-135, 195-210, 300-315"
6daa82827f6662aaaa3a96e573cfae243a7e9dda,ad_free,124,4,120,0.032,"135-150, 120-135, 165-180"
6dc97df2264918e623c5ccd44c53a1b230fb0315,ad_free,10,1,9,0.1,"15-30, 120-135, 150-165"
6dee3b77366911d8efd4ece6a36d119addec3cbe,mixed_or_uncertain,22,8,14,0.364,"0-15, 15-30, 30-45"
6e2247889d53f9845dd5e907d5ef7e056817130f,ad_free,21,0,21,0.0,"135-150, 90-105, 120-135"
731c92860b8742486a1d12e1006be4ea9d89acd6,ad_free,14,0,14,0.0,"150-165, 210-225, 120-135"
77f74950930307bf604aaa052b06a20df5872c5d,ad_free,2,0,2,0.0,"120-135, 165-180"
795035c8c0d294829576b1269abbb3f3cda0e12d,ad_free,51,4,47,0.078,"150-165, 90-105, 120-135"
7c2cf587702cca30384cb2364907c7ca8bc5345d,ad_free,3,1,2,0.333,"0-15, 150-165, 61254795-61254810"
7d439ad014ec82670afbb1183013126d548c52d6,ad_free,30,2,28,0.067,"180-195, 150-165, 60-75"
7d9bdd3b8ccd413152daada4fdbcd7778d59dcbc,ad_free,9,1,8,0.111,"255-270, 15-30, 210-225"
80c3bf489bd13151875c349b0b510421e1a00463,ad_free,16,2,14,0.125,"120-135, 240-255, 0-15"
813b06197f4ae42581a74aab21410011da30edad,ad_free,104,4,100,0.038,"90-105, 120-135, 135-150"
