tv_id,subscription_type,total_gaps,ad_like_gaps,long_gaps,ad_gap_proportion,most_common_ranges
00734bf0fd4407d1a20a4a6153753ef02a072a9e,ad_free,1113,53,1060,0.048,"135-150, 120-135, 165-180"
02412fbb34445cfd45f8b4eb7fd41bb47e9f4491,ad_free,17,0,17,0.0,"120-135, 1350-1365, 1905-1920"
02ccce7a063b3f08d6aa0c341e5cbb2ba4bda7d5,ad_free,378,52,326,0.138,"15-30, 45-60, 120-135"
03a50c8293801acccd224d1d09026ec3adcdebc2,ad_free,238,36,202,0.151,"15-30, 210-225, 645-660"
04719294266ef374442bcc0a85dee9d2753f55a2,ad_free,420,12,408,0.029,"120-135, 150-165, 285-300"
08cc89741f5aff5624a04ecabc65ca3305073005,ad_free,756,31,725,0.041,"135-150, 120-135, 0-15"
0a287decd1a35329264c811a372a04b3ab9d354a,ad_free,215,7,208,0.033,"270-285, 15-30, 300-315"
0d00e3afe5de133ba06b1abea9ed14fdc8d20c50,ad_free,66,9,57,0.136,"30-45, 0-15, 120-135"
0ebe19ad7edef472e15c4f161c02b83fb94dafa7,ad_free,358,26,332,0.073,"0-15, 30-45, 105-120"
0ed088ca0bf854b8c6e1810e52c710133f3e3733,ad_free,939,82,857,0.087,"120-135, 135-150, 0-15"
0fee80b1cf1e8e09330b78f1db80830c2712d7ca,ad_free,1593,90,1503,0.056,"0-15, 180-195, 45-60"
10ceeee9bcdf2016ce80af13ddfd04556bc24e12,ad_free,14,0,14,0.0,"135-150, 165-180, 195-210"
14e2d2784692e34aa87dff546a6cc74e7e398c15,ad_free,52,8,44,0.154,"0-15, 300-315, 120-135"
1782baacbf31b4f77320b4fd89dee57f6248cfbf,ad_free,436,13,423,0.03,"330-345, 15-30, 180-195"
17b9fef874fb6c2e05592b3dfd0039cbfd07fdaa,ad_free,1147,78,1069,0.068,"120-135, 135-150, 150-165"
18bab99a09efa0dfac12ef7869b4a102e8b97a7a,ad_free,310,74,236,0.239,"15-30, 0-15, 120-135"
1a23562489dabfb8afc69be0c4c0c7f9de2334f5,ad_free,110,25,85,0.227,"45-60, 120-135, 135-150"
1d037f4974203f42d954bcf7d5c1c8d48637f7de,ad_free,8,1,7,0.125,"45-60, 60-75, 75-90"
1e240b1635c649634e49ff6f255da15c0c033796,ad_free,33,3,30,0.091,"120-135, 240-255, 5205-5220"
222c114a5b1d00bc36861ed9ef5846197e2eb203,ad_free,139,18,121,0.129,"15-30, 120-135, 135-150"
23b866d8a1950d050b91e42cb3209b02d50fbc7a,ad_free,4,0,4,0.0,"150-165, 420-435, 2092680-2092695"
24691e0a075f289e500c20a269dc6b89733ffe9c,ad_free,194,6,188,0.031,"120-135, 180-195, 165-180"
25f8ba7db5f36cb4d9584806716bfe39bc35f991,ad_free,2,0,2,0.0,"180-195, 5040-5055"
292e09d51507237f6e3fa1cc6b6d91d131cb028f,ad_free,3,0,3,0.0,"255-270, 3480-3495, 113235-113250"
295b5dfbb90e06569543eed158c9bf25a3f38bf8,ad_free,742,86,656,0.116,"30-45, 0-15, 15-30"
29849610eedc130e46d83b3ba0fb92085754cadb,ad_free,1,0,1,0.0,68355-68370
2a1a7d36f03851103e81de97550a4cd0ce43ca2f,ad_free,883,77,806,0.087,"45-60, 30-45, 15-30"
2b8855f668e4341590e61cd93835258f09af6175,ad_free,119,11,108,0.092,"0-15, 120-135, 15-30"
2e8897602df9767b7fcfb208bb479c03ed2c0be7,ad_free,693,83,610,0.12,"0-15, 135-150, 15-30"
34a0de273d870994b6a955f6a60f68b567922bc8,ad_free,4,0,4,0.0,"350490-350505, 598425-598440, 2072160-2072175"
